state,effective_date,old_minimum_wage,new_minimum_wage,nominal_change,pct_change,policy_year,source_url,source_name,verified,notes
AK,2015-01-01,7.75,8.75,1.0,0.12903225806451613,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2016-01-01,8.75,9.75,1.0,0.11428571428571428,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2017-01-01,9.75,9.8,0.05000000000000071,0.005128205128205201,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2018-01-01,9.8,9.84,0.03999999999999915,0.004081632653061137,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2019-01-01,9.84,9.89,0.05000000000000071,0.005081300813008202,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2020-01-01,9.89,10.19,0.29999999999999893,0.03033367037411516,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2021-01-01,10.19,10.34,0.15000000000000036,0.01472031403336608,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AK,2023-01-01,10.34,10.85,0.5099999999999998,0.049323017408123775,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAK,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2015-01-01,6.25,7.5,1.25,0.2,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2016-01-01,7.5,8.0,0.5,0.06666666666666667,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2017-01-01,8.0,8.5,0.5,0.0625,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2019-01-01,8.5,9.25,0.75,0.08823529411764706,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2020-01-01,9.25,10.0,0.75,0.08108108108108109,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AR,2021-01-01,10.0,11.0,1.0,0.1,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAR,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2015-01-01,7.9,8.05,0.15000000000000036,0.018987341772151944,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2017-01-01,8.05,10.0,1.9499999999999993,0.2422360248447204,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2018-01-01,10.0,10.5,0.5,0.05,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2019-01-01,10.5,11.0,0.5,0.047619047619047616,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2020-01-01,11.0,12.0,1.0,0.09090909090909091,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2021-01-01,12.0,12.15,0.15000000000000036,0.01250000000000003,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2022-01-01,12.15,12.8,0.6500000000000004,0.0534979423868313,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
AZ,2023-01-01,12.8,13.85,1.049999999999999,0.08203124999999992,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGAZ,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2016-01-01,9.0,10.0,1.0,0.1111111111111111,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2017-01-01,10.0,10.5,0.5,0.05,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2018-01-01,10.5,11.0,0.5,0.047619047619047616,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2019-01-01,11.0,12.0,1.0,0.09090909090909091,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2021-01-01,12.0,13.0,1.0,0.08333333333333333,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2022-01-01,13.0,14.0,1.0,0.07692307692307693,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CA,2023-01-01,14.0,15.5,1.5,0.10714285714285714,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2015-01-01,8.0,8.23,0.23000000000000043,0.028750000000000053,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2016-01-01,8.23,8.31,0.08000000000000007,0.009720534629404625,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2017-01-01,8.31,9.3,0.9900000000000002,0.11913357400722023,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2018-01-01,9.3,10.2,0.8999999999999986,0.09677419354838694,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2019-01-01,10.2,11.1,0.9000000000000004,0.0882352941176471,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2020-01-01,11.1,12.0,0.9000000000000004,0.08108108108108111,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2021-01-01,12.0,12.32,0.3200000000000003,0.02666666666666669,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2022-01-01,12.32,12.56,0.2400000000000002,0.019480519480519497,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2023-01-01,12.56,13.65,1.0899999999999999,0.08678343949044584,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2015-01-01,8.7,9.15,0.45000000000000107,0.05172413793103461,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2016-01-01,9.15,9.6,0.4499999999999993,0.04918032786885238,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2017-01-01,9.6,10.1,0.5,0.052083333333333336,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2019-01-01,10.1,11.0,0.9000000000000004,0.08910891089108915,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2020-01-01,11.0,12.0,1.0,0.09090909090909091,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2021-01-01,12.0,13.0,1.0,0.08333333333333333,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2022-01-01,13.0,14.0,1.0,0.07692307692307693,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2015-01-01,9.5,10.5,1.0,0.10526315789473684,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2016-01-01,10.5,11.5,1.0,0.09523809523809523,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2017-01-01,11.5,12.5,1.0,0.08695652173913043,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2018-01-01,12.5,13.25,0.75,0.06,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2019-01-01,13.25,14.0,0.75,0.05660377358490566,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2020-01-01,14.0,15.0,1.0,0.07142857142857142,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2021-01-01,15.0,15.2,0.1999999999999993,0.013333333333333286,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2022-01-01,15.2,16.1,0.9000000000000021,0.059210526315789616,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DC,2023-01-01,16.1,16.5,0.3999999999999986,0.024844720496894318,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDC,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DE,2015-01-01,7.75,8.25,0.5,0.06451612903225806,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDE,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DE,2019-01-01,8.25,9.25,1.0,0.12121212121212122,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDE,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DE,2022-01-01,9.25,10.5,1.25,0.13513513513513514,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDE,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
DE,2023-01-01,10.5,11.75,1.25,0.11904761904761904,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGDE,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
FL,2015-01-01,7.93,8.05,0.120000000000001,0.015132408575031652,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGFL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
FL,2017-01-01,8.05,8.1,0.049999999999998934,0.006211180124223469,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGFL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
FL,2018-01-01,8.1,8.25,0.15000000000000036,0.018518518518518563,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGFL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
FL,2019-01-01,8.25,8.46,0.21000000000000085,0.02545454545454556,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGFL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
FL,2020-01-01,8.46,8.56,0.09999999999999964,0.011820330969267096,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGFL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
FL,2021-01-01,8.56,10.0,1.4399999999999995,0.1682242990654205,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGFL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
FL,2023-01-01,10.0,11.0,1.0,0.1,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGFL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
GA,2019-01-01,5.15,7.25,2.0999999999999996,0.40776699029126207,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGGA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
HI,2015-01-01,7.25,7.75,0.5,0.06896551724137931,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGHI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
HI,2016-01-01,7.75,8.5,0.75,0.0967741935483871,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGHI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
HI,2017-01-01,8.5,9.25,0.75,0.08823529411764706,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGHI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
HI,2018-01-01,9.25,10.1,0.8499999999999996,0.09189189189189186,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGHI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
HI,2022-01-01,10.1,12.0,1.9000000000000004,0.18811881188118815,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGHI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
IL,2020-01-01,8.25,10.0,1.75,0.21212121212121213,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGIL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
IL,2021-01-01,10.0,11.0,1.0,0.1,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGIL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
IL,2022-01-01,11.0,12.0,1.0,0.09090909090909091,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGIL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
IL,2023-01-01,12.0,13.0,1.0,0.08333333333333333,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGIL,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MA,2015-01-01,8.0,9.0,1.0,0.125,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MA,2016-01-01,9.0,10.0,1.0,0.1111111111111111,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MA,2017-01-01,10.0,11.0,1.0,0.1,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MA,2019-01-01,11.0,12.0,1.0,0.09090909090909091,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MA,2020-01-01,12.0,12.75,0.75,0.0625,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MA,2021-01-01,12.75,13.5,0.75,0.058823529411764705,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MA,2022-01-01,13.5,14.25,0.75,0.05555555555555555,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MA,2023-01-01,14.25,15.0,0.75,0.05263157894736842,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMA,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MD,2015-01-01,7.25,8.25,1.0,0.13793103448275862,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMD,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MD,2016-01-01,8.25,8.75,0.5,0.06060606060606061,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMD,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MD,2017-01-01,8.75,9.25,0.5,0.05714285714285714,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMD,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MD,2018-01-01,9.25,10.1,0.8499999999999996,0.09189189189189186,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMD,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MD,2020-01-01,10.1,11.0,0.9000000000000004,0.08910891089108915,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMD,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MD,2021-01-01,11.0,11.75,0.75,0.06818181818181818,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMD,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MD,2022-01-01,11.75,12.5,0.75,0.06382978723404255,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMD,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MD,2023-01-01,12.5,13.25,0.75,0.06,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMD,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
ME,2017-01-01,7.5,9.0,1.5,0.2,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGME,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
ME,2018-01-01,9.0,10.0,1.0,0.1111111111111111,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGME,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
ME,2019-01-01,10.0,11.0,1.0,0.1,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGME,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
ME,2020-01-01,11.0,12.0,1.0,0.09090909090909091,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGME,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
ME,2021-01-01,12.0,12.15,0.15000000000000036,0.01250000000000003,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGME,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
ME,2022-01-01,12.15,12.75,0.5999999999999996,0.049382716049382686,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGME,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
ME,2023-01-01,12.75,13.8,1.0500000000000007,0.08235294117647064,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGME,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2016-01-01,8.15,8.5,0.34999999999999964,0.04294478527607357,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2017-01-01,8.5,8.9,0.40000000000000036,0.047058823529411806,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2018-01-01,8.9,9.25,0.34999999999999964,0.03932584269662917,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2019-01-01,9.25,9.45,0.1999999999999993,0.021621621621621546,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2020-01-01,9.45,9.65,0.20000000000000107,0.021164021164021277,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2022-01-01,9.65,9.87,0.21999999999999886,0.022797927461139778,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2023-01-01,9.87,10.1,0.23000000000000043,0.023302938196555264,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
